Authors,Article Title,Source Title,Publication Year,DOI,n_taxa,class,order,market_type,overexploitation_focus,market_price_lower,market_price_upper,currency_unit,longitudinal_price,abundance,abundance_metric,described_rare,rarity_category,price_abundance_link,evidence_aae
"Marginean, GI; Gherman, E; Sos, T","The illegal internet based trade in European pond turtle Emys orbicularis (Linnaeus, 1758) in Romania: a threat factor for conservation",NORTH-WESTERN JOURNAL OF ZOOLOGY,2018,NA,1,reptilia,testudines,pet,1,4.54,113.63,EUR,0,1,"volume,abundance",1,threat,0,NA
"Purcell, SW; Williamson, DH; Ngaluafe, P",Chinese market prices of beche-de-mer: Implications for fisheries and aquaculture,MARINE POLICY,2018,10.1016/j.marpol.2018.02.005,20,holothuroidea,NA,food,0,22,1889,USD,1,1,volume,0,NA,0,NA
"Pleguezuelos, JM; Feriche, M; Brito, JC; Fahd, S",Snake charming and the exploitation of snakes in Morocco,ORYX,2018,10.1017/S0030605316000910,1,reptilia,serpentes,medicinal,1,200,500,MAD,1,1,"abundance,volume",1,threat,0,NA
"Walker, RD; Jones, GA",Consumer-Driven Depletion of the Northern Diamondback Terrapin in Chesapeake Bay,MARINE AND COASTAL FISHERIES,2018,10.1002/mcf2.10009,1,reptilia,testudines,food,1,40,80,USD,1,1,volume,1,threat,1,NA
"Ingram, DJ; Coad, L; Abernethy, KA; Maisels, F; Stokes, EJ; Bobo, KS; Breuer, T; Gandiwa, E; Ghiurghi, A; Greengrass, E; Holmern, T; Kamgaing, TOW; Obiang, AMN; Poulsen, JR; Schleicher, J; Nielsen, MR; Solly, H; Vath, CL; Waltert, M; Whitham, CEL; Wilkie, DS; Scharlemann, JPW",Assessing Africa-Wide Pangolin Exploitation by Scaling Local Data,CONSERVATION LETTERS,2018,10.1111/conl.12389,4,mammalia,pholidota,"food,medicinal",1,2700,8500,CFA,1,1,"volume,conservation",1,threat,0,NA
"Dalerum, F; Miranda, M; Muniz, C; Rodriguez, P","Effects of scarcity, aesthetics and ecology on wildlife auction prices of large African mammals",AMBIO,2018,10.1007/s13280-017-0937-3,47,mammalia,"carnivora,ungulata",trophy,1,20000,5.00E+05,ZAR,0,1,conservation,1,"threat,morph",1,NA
"Kuo, TC; Vincent, A",Assessing the changes in international trade of marine fishes under CITES regulations - A case study of seahorses,MARINE POLICY,2018,10.1016/j.marpol.2017.10.031,1,actinopterygii,syngnathidae,medicinal,1,1000,1.00E+06,USD,1,1,volume,1,threat,0,NA
"Abi-Said, MR; Outa, NT; Makhlouf, H; Amr, ZS; Eid, E","Illegal Trade in Wildlife Species in Beirut, Lebanon",VERTEBRATE ZOOLOGY,2018,NA,43,"aves,reptilia,mammalia",NA,pet,1,3,1600,USD,0,1,"volume,conservation",1,threat,1,NA
"Thach, HM; Le, MD; Vu, NB; Panariello, A; Sethi, G; Sterling, EJ; Blair, ME",Slow Loris Trade in Vietnam: Exploring Diverse Knowledge and Values,FOLIA PRIMATOLOGICA,2018,10.1159/000481196,1,mammalia,"primates,carnivora",pet,1,0,35,USD,0,0,NA,1,supply_trend,0,NA
"Purcell, SW; Ngaluafe, P; Lalavanua, W; Ceccarelli, DM",Market price trends of Latin American and Caribbean sea cucumbers inform fisheries management,REGIONAL STUDIES IN MARINE SCIENCE,2018,10.1016/j.rsma.2017.12.003,2,holothuroidea,"synallactida,holothuriida","food,medicinal",1,16,358,USD,0,1,volume,1,pop_trend,0,NA
"Purcell, SW; Crona, BI; Lalavanua, W; Eriksson, H",Distribution of economic returns in small-scale fisheries for international markets: A value-chain analysis,MARINE POLICY,2017,10.1016/j.marpol.2017.09.001,15,holothuroidea,NA,"food,medicinal",1,10,400,USD,0,0,NA,0,NA,0,NA
"Ahlers, AA; Heske, EJ",Empirical Evidence for Declines in Muskrat Populations Across the United States,JOURNAL OF WILDLIFE MANAGEMENT,2017,10.1002/jwmg.21328,1,mammalia,rodentia,product,1,1,20,USD,1,1,volume,0,NA,0,NA
"Nijman, V; Spaan, D; Rode-Margono, EJ; Wirdateti; Nekaris, KAI","Changes in the primate trade in indonesian wildlife markets over a 25-year period: Fewer apes and langurs, more macaques, and slow lorises",AMERICAN JOURNAL OF PRIMATOLOGY,2017,10.1002/ajp.22517,17,mammalia,primates,pet,1,40,75,USD,0,1,"volume,conservation",1,threat,0,NA
"Nijman, V",North Africa as a source for European eel following the 2010 EU CITES eel trade ban,MARINE POLICY,2017,10.1016/j.marpol.2017.06.036,1,actinopterygii,anguilliformes,"food,pet",1,8.61,185,USD,1,1,"volume,conservation",1,threat,1,NA
"Barrowclift, E; Temple, AJ; Stead, S; Jiddawi, NS; Berggren, P","Social, economic and trade characteristics of the elasmobranch fishery on Unguja Island, Zanzibar, East Africa",MARINE POLICY,2017,10.1016/j.marpol.2017.06.002,13,chondrichthyes,elasmobranchii,food,1,10,35000,TZS,1,1,"volume,pop_trend",0,NA,0,NA
"Dai, CY; Zhang, CL","The local bird trade and its conservation impacts in the city of Guiyang, Southwest China",REGIONAL ENVIRONMENTAL CHANGE,2017,10.1007/s10113-017-1141-5,206,aves,"anseriformes,bucerotiformes,gruiformes,acciptriformes,coraciiformes,strigiformes,falconiformes,piciformes,cuculiformes,galliformes,columbiformes,psittaciformes,passeriformes",pet,1,2,3000,CNY,0,1,"volume,conservation",1,"threat,endemic",1,NA
"Jaiteh, VF; Loneragan, NR; Warren, C",The end of shark finning? Impacts of declining catches and fin demand on coastal community livelihoods,MARINE POLICY,2017,10.1016/j.marpol.2017.03.027,5,chondrichthyes,selachimorpha,"food,medicinal",1,NA,NA,IDR,1,1,"volume,conservation,pop_trend",1,"threat,pop_trend",0,NA
"Gonedele Bi, S; Kone, I; Bene, JCK; Bitty, EA; Yao, KA; Kouassi, BA; Gaubert, P",Bushmeat hunting around a remnant coastal rainforest in Cote d'Ivoire,ORYX,2017,10.1017/S0030605315001453,9,"mammalia,reptilia","artiodactyla,carnivora,pholidota,hyracoidea,primates,rodentia,squamata,crocodilia",food,1,269.47,3094.12,CFA,0,1,conservation,1,threat,0,NA
"Hancock, JM; Furtado, S; Merino, S; Godley, BJ; Nuno, A","Exploring drivers and deterrents of the illegal consumption and trade of marine turtle products in Cape Verde, and implications for conservation planning",ORYX,2017,10.1017/S0030605316000107,1,reptilia,testudines,food,1,50,20000,CVE,0,0,NA,1,threat,0,NA
"Gonzalez-Marin, RM; Moreno-Casasola, P; Castro-Luna, AA; Castillo, A","Regaining the traditional use of wildlife in wetlands on the coastal plain of Veracruz, Mexico: ensuring food security in the face of global climate change",REGIONAL ENVIRONMENTAL CHANGE,2017,10.1007/s10113-016-0955-x,71,"aves,reptilia,mammalia",NA,"food,pet,medicinal,product",1,2.08,58.33,USD,0,0,NA,0,NA,0,NA
"Pirie, TJ; Thomas, RL; Fellowes, MDE",Increasing game prices may alter farmers' behaviours towards leopards (Panthera pardus) and other carnivores in South Africa,PEERJ,2017,10.7717/peerj.3369,2,mammalia,artiodactyla,trophy,0,77,139803,USD,1,0,NA,1,morph,1,NA
"Gaillard, D; Lin, L; Shi, HT; Luo, SJ","TURTLE SOUP: LOCAL USAGE AND DEMAND FOR WILD CAUGHT TURTLES IN QIONGZHONG COUNTY, HAINAN ISLAND",HERPETOLOGICAL CONSERVATION AND BIOLOGY,2017,NA,11,reptilia,testudines,"food,pet",1,60,120000,USD,1,0,NA,1,threat,0,NA
"Harris, JBC; Tingley, MW; Hua, FY; Yong, DL; Adeney, JM; Lee, TM; Marthy, W; Prawiradilaga, DM; Sekercioglu, CH; Suyadi; Winarni, N; Wilcove, DS",Measuring the impact of the pet trade on Indonesian birds,CONSERVATION BIOLOGY,2017,10.1111/cobi.12729,NA,aves,NA,pet,1,NA,NA,NA,1,1,abundance,1,"threat,abundance",1,NA
"O'Malley, MP; Townsend, KA; Hilton, P; Heinrichs, S; Stewart, JD",Characterization of the trade in manta and devil ray gill plates in China and South-east Asia through trader surveys,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,2017,10.1002/aqc.2670,1,chondrichthyes,myliobatiformes,medicinal,1,141,472,USD,1,1,volume,1,threat,0,NA
